"location","origin","clock","model","event_date","event_year","age","current","truth","median","wis","absolute_error","coverage90"
"Alabama",2025-04-26,"calendar","cumulative_nb",2025-04-12,2025,2,53,54,53,0.701363636363636,1,TRUE
"Alabama",2025-04-26,"calendar","cumulative_nb",2025-04-19,2025,1,50,50,50,0.349090909090909,0,TRUE
"Alabama",2025-04-26,"calendar","cumulative_nb",2025-04-26,2025,0,34,35,38,1.95454545454545,3,TRUE
"Alabama",2025-04-26,"calendar","hurdle_ztnb",2025-03-29,2025,4,167,169,167,2.01818181818182,2,FALSE
"Alabama",2025-04-26,"calendar","hurdle_ztnb",2025-04-05,2025,3,85,85,85,0.0936363636363635,0,TRUE
"Alabama",2025-04-26,"calendar","hurdle_ztnb",2025-04-12,2025,2,53,54,53,0.863636363636364,1,TRUE
"Alabama",2025-04-26,"calendar","hurdle_ztnb",2025-04-19,2025,1,50,50,50,0.601363636363636,0,TRUE
"Alabama",2025-04-26,"calendar","hurdle_ztnb",2025-04-26,2025,0,34,35,34,2.6019696969697,1,TRUE
"Alabama",2025-04-26,"calendar","hurdle_ztpoisson",2025-03-29,2025,4,167,169,167,2.00909090909091,2,FALSE
"Alabama",2025-04-26,"calendar","hurdle_ztpoisson",2025-04-05,2025,3,85,85,85,0,0,TRUE
"Alabama",2025-04-26,"calendar","hurdle_ztpoisson",2025-04-12,2025,2,53,54,53,1.00136363636364,1,FALSE
"Alabama",2025-04-26,"calendar","hurdle_ztpoisson",2025-04-19,2025,1,50,50,50,0,0,TRUE
"Alabama",2025-04-26,"calendar","hurdle_ztpoisson",2025-04-26,2025,0,34,35,34,0.992272727272731,1,FALSE
"Alabama",2025-04-26,"compressed","empirical_multiplier",2025-03-29,2025,4,167,169,167,2,2,FALSE
"Alabama",2025-04-26,"compressed","empirical_multiplier",2025-04-05,2025,3,85,85,85,0,0,TRUE
"Alabama",2025-04-26,"compressed","empirical_multiplier",2025-04-12,2025,2,53,54,53,1,1,FALSE
"Alabama",2025-04-26,"compressed","empirical_multiplier",2025-04-19,2025,1,50,50,50,0,0,TRUE
"Alabama",2025-04-26,"compressed","empirical_multiplier",2025-04-26,2025,0,34,35,34,1,1,FALSE
"Alabama",2025-04-26,"compressed","cumulative_poisson",2025-03-29,2025,4,167,169,165,3.16363636363636,4,FALSE
"Alabama",2025-04-26,"compressed","cumulative_poisson",2025-04-05,2025,3,85,85,84,0.545454545454546,1,TRUE
"Alabama",2025-04-26,"compressed","cumulative_poisson",2025-04-12,2025,2,53,54,53,1.22727272727273,1,FALSE
"Alabama",2025-04-26,"compressed","cumulative_poisson",2025-04-19,2025,1,50,50,50,0.219545454545455,0,TRUE
"Alabama",2025-04-26,"compressed","cumulative_poisson",2025-04-26,2025,0,34,35,34,0.557272727272727,1,TRUE
"Alabama",2025-04-26,"compressed","cumulative_nb",2025-03-29,2025,4,167,169,165,3.11818181818182,4,FALSE
"Alabama",2025-04-26,"compressed","cumulative_nb",2025-04-05,2025,3,85,85,84,0.475151515151515,1,TRUE
"Alabama",2025-04-26,"compressed","cumulative_nb",2025-04-12,2025,2,53,54,53,1.21818181818182,1,FALSE
"Alabama",2025-04-26,"compressed","cumulative_nb",2025-04-19,2025,1,50,50,50,0.218181818181818,0,TRUE
"Alabama",2025-04-26,"compressed","cumulative_nb",2025-04-26,2025,0,34,35,35,0.503787878787879,0,TRUE
"Alabama",2025-04-26,"compressed","hurdle_ztnb",2025-03-29,2025,4,167,169,167,2.465,2,FALSE
"Alabama",2025-04-26,"compressed","hurdle_ztnb",2025-04-05,2025,3,85,85,84,0.628636363636364,1,TRUE
"Alabama",2025-04-26,"compressed","hurdle_ztnb",2025-04-12,2025,2,53,54,52,1.86606060606061,2,FALSE
"Alabama",2025-04-26,"compressed","hurdle_ztnb",2025-04-19,2025,1,50,50,48,1.33227272727273,2,TRUE
"Alabama",2025-04-26,"compressed","hurdle_ztnb",2025-04-26,2025,0,34,35,34,1.42060606060606,1,TRUE
"Alabama",2025-04-26,"compressed","hurdle_ztpoisson",2025-03-29,2025,4,167,169,166,2.92727272727273,3,FALSE
"Alabama",2025-04-26,"compressed","hurdle_ztpoisson",2025-04-05,2025,3,85,85,85,0.419545454545454,0,TRUE
"Alabama",2025-04-26,"compressed","hurdle_ztpoisson",2025-04-12,2025,2,53,54,53,0.941818181818183,1,TRUE
"Alabama",2025-04-26,"compressed","hurdle_ztpoisson",2025-04-19,2025,1,50,50,50,0.320606060606061,0,TRUE
"Alabama",2025-04-26,"compressed","hurdle_ztpoisson",2025-04-26,2025,0,34,35,34,0.758181818181818,1,TRUE
"Alabama",2025-05-31,"calendar","empirical_multiplier",2025-05-03,2025,4,27,27,27,0,0,TRUE
"Alabama",2025-05-31,"calendar","empirical_multiplier",2025-05-10,2025,3,33,33,33,0,0,TRUE
"Alabama",2025-05-31,"calendar","empirical_multiplier",2025-05-17,2025,2,37,37,37,0,0,TRUE
"Alabama",2025-05-31,"calendar","empirical_multiplier",2025-05-24,2025,1,28,28,28,0,0,TRUE
"Alabama",2025-05-31,"calendar","empirical_multiplier",2025-05-31,2025,0,11,11,11,0,0,TRUE
"Alabama",2025-05-31,"calendar","cumulative_poisson",2025-05-03,2025,4,27,27,27,0,0,TRUE
"Alabama",2025-05-31,"calendar","cumulative_poisson",2025-05-10,2025,3,33,33,33,0.00136363636363635,0,TRUE
"Alabama",2025-05-31,"calendar","cumulative_poisson",2025-05-17,2025,2,37,37,37,0.0181818181818182,0,TRUE
"Alabama",2025-05-31,"calendar","cumulative_poisson",2025-05-24,2025,1,28,28,28,0.0818181818181818,0,TRUE
"Alabama",2025-05-31,"calendar","cumulative_poisson",2025-05-31,2025,0,11,11,13,0.967424242424242,2,TRUE
"Alabama",2025-05-31,"calendar","cumulative_nb",2025-05-03,2025,4,27,27,27,0.00136363636363638,0,TRUE
"Alabama",2025-05-31,"calendar","cumulative_nb",2025-05-10,2025,3,33,33,33,0.0181818181818182,0,TRUE
"Alabama",2025-05-31,"calendar","cumulative_nb",2025-05-17,2025,2,37,37,37,0.0545454545454545,0,TRUE
"Alabama",2025-05-31,"calendar","cumulative_nb",2025-05-24,2025,1,28,28,28,0.154545454545455,0,TRUE
"Alabama",2025-05-31,"calendar","cumulative_nb",2025-05-31,2025,0,11,11,12,0.863636363636364,1,TRUE
"Alabama",2025-05-31,"calendar","hurdle_ztnb",2025-05-03,2025,4,27,27,27,0.154545454545455,0,TRUE
"Alabama",2025-05-31,"calendar","hurdle_ztnb",2025-05-10,2025,3,33,33,33,0.337727272727273,0,TRUE
"Alabama",2025-05-31,"calendar","hurdle_ztnb",2025-05-17,2025,2,37,37,37,0.431060606060606,0,TRUE
"Alabama",2025-05-31,"calendar","hurdle_ztnb",2025-05-24,2025,1,28,28,28,0.905,0,TRUE
"Alabama",2025-05-31,"calendar","hurdle_ztnb",2025-05-31,2025,0,11,11,12,1.7219696969697,1,TRUE
"Alabama",2025-05-31,"calendar","hurdle_ztpoisson",2025-05-03,2025,4,27,27,27,0,0,TRUE
"Alabama",2025-05-31,"calendar","hurdle_ztpoisson",2025-05-10,2025,3,33,33,33,0,0,TRUE
"Alabama",2025-05-31,"calendar","hurdle_ztpoisson",2025-05-17,2025,2,37,37,37,0,0,TRUE
"Alabama",2025-05-31,"calendar","hurdle_ztpoisson",2025-05-24,2025,1,28,28,28,0.0181818181818182,0,TRUE
"Alabama",2025-05-31,"calendar","hurdle_ztpoisson",2025-05-31,2025,0,11,11,11,0,0,TRUE
"Alaska",2025-01-02,"calendar","empirical_multiplier",2024-11-30,2024,4,9,10,9,1,1,FALSE
"Alaska",2025-01-02,"calendar","empirical_multiplier",2024-12-07,2024,3,17,18,17,1,1,FALSE
"Alaska",2025-01-02,"calendar","empirical_multiplier",2024-12-14,2024,2,25,27,25,2,2,FALSE
"Alaska",2025-01-02,"calendar","empirical_multiplier",2024-12-21,2024,1,18,22,18,4,4,FALSE
"Alaska",2025-01-02,"calendar","empirical_multiplier",2024-12-28,2024,0,17,35,17,18,18,FALSE
"Alaska",2025-01-02,"calendar","cumulative_poisson",2024-11-30,2024,4,9,10,9,0.672727272727273,1,TRUE
"Alaska",2025-01-02,"calendar","cumulative_poisson",2024-12-07,2024,3,17,18,17,0.546818181818182,1,TRUE
"Alaska",2025-01-02,"calendar","cumulative_poisson",2024-12-14,2024,2,25,27,25,0.990909090909091,2,TRUE
