"location","origin","clock","epidemic","model","nll","convergence","max_gradient","gradient_status","finite_fit","finite_prediction","leakage_ok","use_random","fit_seconds","warnings"
"California",2025-02-15,"calendar","hsgp","hurdle_ztpoisson",11264.6861947895,0,0.0278824465153378,"pass",TRUE,TRUE,TRUE,FALSE,4.52700000000004,""
"California",2025-02-15,"calendar","sir","hurdle_ztnb",1600.80990158366,0,0.0025875585267201,"pass",TRUE,TRUE,TRUE,FALSE,5.01199999999994,""
"California",2025-02-15,"calendar","sir","hurdle_ztpoisson",4492.04846391537,1,1.4969052103454,"warning",TRUE,TRUE,TRUE,FALSE,50.478,"The `hurdle_ztpoisson` optimizer did not pass the stability gate.
✖ Optimizer code 1: L-BFGS-B polish: NEW_X
✖ Maximum absolute gradient: 1.497.
ℹ Try `count_cumulative_process(observation = ""hurdle_ztnb"")`; the ZTNB
  magnitude law was stable in the package-wide sweep.
ℹ This finite fit is returned with `gradient_status = ""warning""`; inspect
  `fit$opt` before using it."
"California",2025-03-29,"calendar","hsgp","hurdle_ztnb",1625.59272614667,0,0.00434245295010949,"pass",TRUE,TRUE,TRUE,FALSE,5.16399999999999,""
"California",2025-03-29,"calendar","hsgp","hurdle_ztpoisson",12968.0576167272,0,0.0279114145838502,"pass",TRUE,TRUE,TRUE,FALSE,5.351,""
"California",2025-03-29,"calendar","sir","hurdle_ztnb",1886.82615868935,0,0.00210809186070415,"pass",TRUE,TRUE,TRUE,FALSE,5.57100000000003,""
"California",2025-03-29,"calendar","sir","hurdle_ztpoisson",5464.88600767463,0,0.106375208878968,"warning",TRUE,TRUE,TRUE,FALSE,42.6740000000001,"The `hurdle_ztpoisson` optimizer did not pass the stability gate.
✖ Optimizer code 0: L-BFGS-B polish: CONVERGENCE: REL_REDUCTION_OF_F <=
  FACTR*EPSMCH
✖ Maximum absolute gradient: 0.1064.
ℹ Try `count_cumulative_process(observation = ""hurdle_ztnb"")`; the ZTNB
  magnitude law was stable in the package-wide sweep.
ℹ This finite fit is returned with `gradient_status = ""warning""`; inspect
  `fit$opt` before using it."
"California",2025-04-26,"calendar","hsgp","hurdle_ztnb",1705.74502725863,0,0.00655485394672883,"pass",TRUE,TRUE,TRUE,FALSE,5.49199999999996,""
"California",2025-04-26,"calendar","hsgp","hurdle_ztpoisson",13122.217222784,0,0.0781203206683151,"pass",TRUE,TRUE,TRUE,FALSE,6.37900000000002,""
"California",2025-04-26,"calendar","sir","hurdle_ztnb",1899.97461334347,0,0.0389763336420758,"pass",TRUE,TRUE,TRUE,FALSE,6.13800000000003,""
"California",2025-04-26,"calendar","sir","hurdle_ztpoisson",5655.4419010066,0,0.0385623043667325,"pass",TRUE,TRUE,TRUE,FALSE,12.7189999999999,""
"California",2025-05-31,"calendar","hsgp","hurdle_ztnb",1799.12059737555,0,0.00400873888123277,"pass",TRUE,TRUE,TRUE,FALSE,5.58799999999997,""
